code,name,est_level,price,est_price,est_price1,est_price2,disparity2,rep_roe, < 동종업계per,disparity,disparity1,시가총액,거래량,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,EPS(원),자기주식수,배당수익률
A095570,AJ네트웍스,3,4610.0,7546,7214,7120,-54.45,8.6,True,-63.68,-56.49,2159.0,197388.0,"[2888.0, 2871.0, 3185.0, nan]",72.18,"[5.27, 0.39, 15.18, nan]","[21.76, 186.12, 5.06, nan]",12028.0,178.0,982.0,1284859.0,6.04
A208710,바이오로그디바이스,3,1585.0,2910,2335,2171,-36.95,11.88,True,-83.59,-47.29,458.0,85880.0,"[423.0, 464.0, 561.0, nan]",24.24,"[8.77, 13.28, 11.98, nan]","[19.25, 8.59, 8.74, nan]",904.0,70.0,213.0,137119.0,
A067990,도이치모터스,3,6150.0,30265,17612,14007,-127.76,26.2,True,-392.11,-186.38,1724.0,125913.0,"[1466.0, 1796.0, 2480.0, nan]",33.11,"[3.48, 20.58, 26.2, 10.66]","[40.81, 4.02, 3.84, 6.52]",12087.0,829.0,1998.0,1100000.0,
A088130,동아엘텍,3,8080.0,18693,17508,17171,-112.51,8.91,True,-131.35,-116.69,862.0,28264.0,"[1485.0, 1554.0, 1648.0, nan]",31.01,"[8.88, 11.19, 7.4, nan]","[12.54, 5.44, 7.47, nan]",2029.0,198.0,1086.0,807091.0,1.85
A109860,동일금속,3,10650.0,32222,24455,22242,-108.84,13.31,True,-202.56,-129.62,746.0,2338.0,"[1015.0, 1098.0, 1242.0, nan]",57.72,"[3.7, 8.93, 13.31, nan]","[13.79, 7.79, 5.62, nan]",866.0,126.0,2226.0,563000.0,2.24
A196450,디오스텍,3,411.0,663,580,556,-35.3,10.08,True,-61.38,-41.09,592.0,0.0,"[456.0, 392.0, 755.0, nan]",9.96,"[-42.35, -22.45, 10.08, nan]","[nan, nan, 17.88, nan]",862.0,29.0,44.0,39912.0,
A038390,레드캡투어,3,21150.0,36385,26777,24039,-13.66,14.22,False,-72.04,-26.6,1817.0,20427.0,"[1397.0, 1488.0, 1639.0, nan]",74.58,"[6.21, 9.76, 14.22, nan]","[15.56, 9.24, 6.05, nan]",2588.0,350.0,2589.0,552500.0,5.11
A228850,레이언스,3,11000.0,12786,12522,12447,-13.16,8.25,True,-16.24,-13.84,1825.0,39115.0,"[1766.0, 1819.0, 1943.0, 2000.0]",64.86,"[8.55, 8.77, 7.81, 4.08]","[20.99, 17.25, 14.97, 22.67]",1262.0,228.0,885.0,854574.0,2.26
A012700,리드코프,3,6720.0,19981,16621,15664,-133.1,11.07,True,-197.33,-147.34,1777.0,77078.0,"[3173.0, 3334.0, 3683.0, nan]",40.16,"[12.03, 9.83, 11.57, nan]","[4.42, 4.41, 4.64, nan]",4954.0,539.0,1531.0,851283.0,2.11
A014100,메디앙스,3,4195.0,27162,15212,11807,-181.46,29.76,True,-547.49,-262.63,495.0,0.0,"[472.0, 499.0, 841.0, nan]",30.49,"[13.48, 6.55, 50.67, nan]","[23.86, 34.87, 3.01, nan]",973.0,16.0,2877.0,236868.0,
A101330,모베이스,3,3520.0,26558,17409,14802,-320.52,18.68,True,-654.49,-394.58,843.0,344509.0,"[2054.0, 2246.0, 2689.0, nan]",45.22,"[7.73, 9.79, 18.68, nan]","[8.25, 3.93, 2.2, nan]",6525.0,320.0,1924.0,227362.0,
A141000,비아트론,3,9440.0,14987,12720,12074,-27.91,10.65,True,-58.76,-34.75,1144.0,119134.0,"[1085.0, 1293.0, 1327.0, nan]",19.07,"[11.73, 20.6, 3.66, nan]","[20.6, 4.95, 27.38, nan]",500.0,38.0,396.0,281420.0,
A009410,태영건설,3,10450.0,45766,36115,33365,-219.28,12.28,True,-337.95,-245.6,4065.0,235832.0,"[9569.0, 10144.0, 11552.0, nan]",49.32,"[10.12, 19.21, 8.38, nan]","[4.51, 2.37, 5.19, nan]",39244.0,3912.0,1152.0,7780.0,2.51
A018310,삼목에스폼,3,7620.0,28798,28755,28742,-277.2,7.99,True,-277.93,-277.36,1120.0,12067.0,"[3222.0, 3303.0, 3423.0, nan]",50.66,"[11.49, 12.12, 4.07, nan]","[5.04, 4.28, 8.97, nan]",1442.0,114.0,932.0,2783927.0,1.2
