code,name,naverlink,fnlink,est_level,price,pegr,cur_per,est_price,est_price1,est_price2,disparity,disparity1,disparity2,rep_roe,is_cheap_comp_per,eps_level,eps,eps_expect,eps_expect_this_year_ratio,eps_list,eps증가율,eps증가율기하평균,EPS최근증가율,EPS증가율_ORG,EPS증가율_AVG,market_cap,trading_cnt,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,자기주식수,배당수익률,True
A000270,기아,"=HYPERLINK(""https://stock.naver.com/domestic/stock/000270"", ""A000270"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A000270&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""기아"")",3,161100,-8.9,6.37,235499,193996,179399,46.18,20.42,11.36,16.23,True,1,19111.0,21310.0,11.5,"[21770.0, 24413.0, 19111.0, 21310.0]","[12.1, -21.7, 11.5]",-0.7156613266420586,-22.0,"[13.6, 63.1, 12.1, -21.7, -22.0]",4.871831810635907,628955.0,1077583,"[465524.0, 558312.0, 611879.0, 670599.0]",36.99,"[20.44, 19.09, 12.92, 12.97]","[4.59, 4.12, 6.37, 7.56]",1141409.0,90781.0,1756955.0,5.58,True
A015760,한국전력,"=HYPERLINK(""https://stock.naver.com/domestic/stock/015760"", ""A015760"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A015760&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""한국전력"")",3,38100,0.0,3.55,88336,81265,78778,131.85,113.29,106.77,12.77,True,0,13311.0,8652.0,-35.0,"[-7512.0, 5439.0, 13311.0, 8652.0]","[-172.4, 144.7, -35.0]",0.0,7.1,"[nan, nan, nan, 144.7, 7.1]",0.0,244588.0,2208549,"[358450.0, 399152.0, 481699.0, 526507.0]",51.11,"[-12.63, 9.22, 19.4, 11.02]","[nan, 3.69, 3.55, 4.4]",974293.0,134906.0,,3.27,True
A138040,메리츠금융지주,"=HYPERLINK(""https://stock.naver.com/domestic/stock/138040"", ""A138040"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A138040&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""메리츠금융지주"")",1,107300,0.81,8.91,139457,99167,84997,29.97,-7.58,-20.79,23.76,True,3,12698.0,14331.0,12.9,"[10468.0, 11897.0, 12698.0, 14331.0]","[13.7, 6.7, 12.9]",11.055381583725321,3.6,"[4.0, 4.2, -1.2, 1.6, 3.6]",2.419415552429549,179564.0,279894,"[95819.0, 100944.0, 103226.0, 109195.0]",58.78,"[28.11, 23.44, 22.53, 22.76]","[5.65, 8.74, 8.91, 7.49]",41459.0,28727.0,5231200.0,,True
A071050,한국금융지주,"=HYPERLINK(""https://stock.naver.com/domestic/stock/071050"", ""A071050"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A071050&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""한국금융지주"")",3,246500,0.09,4.93,307387,265039,250145,24.7,7.52,1.48,14.65,True,3,32808.0,43853.0,33.7,"[11480.0, 16883.0, 32808.0, 43853.0]","[47.1, 94.3, 33.7]",56.34078689883295,-1.9,"[-0.7, -1.4, -2.9, -2.4, -1.9]",-1.862985086075064,137365.0,417721,"[83737.0, 96508.0, 120103.0, 138744.0]",21.3,"[8.81, 11.54, 18.66, 20.87]","[5.34, 4.22, 4.93, 5.62]",40358.0,23453.0,2987479.0,5.37,True
A039490,키움증권,"=HYPERLINK(""https://stock.naver.com/domestic/stock/039490"", ""A039490"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A039490&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""키움증권"")",1,364000,0.12,7.15,375337,311687,289301,3.11,-14.37,-20.52,15.93,True,3,40504.0,59876.0,47.8,"[15021.0, 29304.0, 40504.0, 59876.0]","[95.1, 38.2, 47.8]",58.542821257598376,27.9,"[11.5, 9.3, 16.0, 18.1, 27.9]",16.38437859670292,95471.0,123458,"[48607.0, 55877.0, 67044.0, 78100.0]",42.49,"[9.27, 15.98, 18.12, 21.92]","[6.62, 3.97, 7.15, 6.08]",23962.0,14882.0,,3.97,True
A005830,DB손해보험,"=HYPERLINK(""https://stock.naver.com/domestic/stock/005830"", ""A005830"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A005830&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""DB손해보험"")",3,142400,-2.97,5.19,294104,233133,211689,106.53,63.72,48.66,17.79,True,0,25263.0,23285.0,-7.8,"[24556.0, 26152.0, 25263.0, 23285.0]","[6.5, -3.4, -7.8]",-1.7454769675439241,17.7,"[13.3, 21.8, 15.6, 19.0, 17.7]",17.444231735265483,93273.0,172623,"[102365.0, 92966.0, 108808.0, 110240.0]",27.5,"[15.63, 18.96, 17.72, 14.12]","[3.41, 3.93, 5.19, 6.12]",165596.0,23840.0,4856880.0,5.8,True
A175330,JB금융지주,"=HYPERLINK(""https://stock.naver.com/domestic/stock/175330"", ""A175330"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A175330&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""JB금융지주"")",3,25750,0.72,6.96,36981,34406,33500,43.61,33.62,30.1,12.48,True,3,3688.0,3933.0,6.6,"[2975.0, 3469.0, 3688.0, 3933.0]","[16.6, 6.3, 6.6]",9.731084942008227,4.1,"[3.5, 4.0, 4.1, 4.1, 4.1]",3.959737809948738,48475.0,542090,"[50028.0, 55806.0, 59146.0, 62977.0]",14.99,"[12.23, 12.8, 12.36, 12.14]","[3.83, 4.69, 6.96, 6.55]",35719.0,9523.0,4215140.0,4.44,True
A002380,KCC,"=HYPERLINK(""https://stock.naver.com/domestic/stock/002380"", ""A002380"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A002380&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""KCC"")",3,542000,0.03,2.43,1435276,1237861,1168430,164.81,128.39,115.58,14.64,False,0,173128.0,117491.0,-32.1,"[23931.0, 38691.0, 173128.0, 117491.0]","[61.7, 347.5, -32.1]",70.00340160436902,392.5,"[nan, 528.0, 61.7, 347.5, 392.5]",0.0,46574.0,32420,"[51774.0, 52660.0, 78245.0, 82161.0]",35.57,"[4.13, 6.58, 23.51, 12.73]","[9.55, 6.09, 2.43, 4.61]",64838.0,4276.0,1238725.0,3.57,True
A111770,영원무역,"=HYPERLINK(""https://stock.naver.com/domestic/stock/111770"", ""A111770"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A111770&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""영원무역"")",3,79800,1.73,7.36,117644,106218,102200,47.42,33.11,28.07,13.28,True,2,11109.0,13181.0,18.7,"[11644.0, 9637.0, 11109.0, 13181.0]","[-17.2, 15.3, 18.7]",4.256575193862466,68.9,"[126.3, -23.5, -17.2, 15.3, 68.9]",22.79114711174488,35361.0,61541,"[32467.0, 36867.0, 40923.0, 45983.0]",50.75,"[17.03, 12.32, 12.66, 13.44]","[3.92, 4.4, 7.36, 6.05]",40636.0,5144.0,1751356.0,2.57,True
A005850,에스엘,"=HYPERLINK(""https://stock.naver.com/domestic/stock/005850"", ""A005850"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A005850&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""에스엘"")",1,69700,1.36,6.4,78409,66188,61890,12.49,-5.04,-11.21,15.35,True,1,6692.0,8293.0,23.9,"[7223.0, 7930.0, 6692.0, 8293.0]","[9.8, -15.6, 23.9]",4.714148218180969,32.3,"[64.4, 119.6, 9.8, -15.6, 32.3]",34.65043351358115,32375.0,152377,"[19284.0, 22998.0, 25525.0, 27966.0]",62.92,"[18.83, 17.42, 12.81, 14.4]","[4.94, 3.8, 6.4, 8.4]",52399.0,4071.0,393058.0,6.46,True
