code,name,naverlink,fnlink,est_level,price,pegr,cur_per,est_price,est_price1,est_price2,disparity,disparity1,disparity2,rep_roe,is_cheap_comp_per,eps_level,eps,eps_expect,eps_expect_this_year_ratio,eps_list,eps증가율,eps증가율기하평균,EPS최근증가율,EPS증가율_ORG,EPS증가율_AVG,market_cap,trading_cnt,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,자기주식수,배당수익률,True
A339950,아이비김영,"=HYPERLINK(""https://stock.naver.com/domestic/stock/339950"", ""A339950"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A339950&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""아이비김영"")",2,2470,0.1,4.22,4381,2952,2452,77.35,19.51,-0.73,27.72,False,3,461.0,485.0,5.2,"[173.0, 282.0, 461.0, 485.0]","[63.0, 63.5, 5.2]",41.00690072357891,489.4,"[-94.9, 2881.9, 63.1, 63.6, 489.4]",88.68706476319747,1110.0,192733,"[448.0, 549.0, 738.0, 826.0]",64.71,"[18.92, 25.42, 32.19, 27.87]","[10.75, 7.17, 4.22, 5.09]",1195.0,191.0,1582885.0,15.42,True
A352090,스톰테크,"=HYPERLINK(""https://stock.naver.com/domestic/stock/352090"", ""A352090"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A352090&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""스톰테크"")",3,3540,0.0,9.58,4511,3967,3776,27.43,12.05,6.67,13.92,True,0,380.0,,,"[468.0, 534.0, 380.0, nan]","[14.1, -28.8, nan]",0.0,13.3,"[9.7, -2.4, 14.2, -28.9, 13.3]",-0.3024669876266928,951.0,63088,"[819.0, 897.0, 938.0, nan]",70.97,"[16.64, 16.74, 11.13, nan]","[10.46, 5.79, 9.58, nan]",697.0,119.0,,12.36,True
A049520,유아이엘,"=HYPERLINK(""https://stock.naver.com/domestic/stock/049520"", ""A049520"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A049520&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""유아이엘"")",3,3460,0.0,4.75,7627,7096,6910,120.43,105.09,99.72,12.39,False,0,696.0,,,"[352.0, 923.0, 696.0, nan]","[162.2, -24.6, nan]",0.0,-6.9,"[nan, 64.5, 162.5, -24.5, -6.9]",0.0,1067.0,163783,"[1593.0, 1984.0, 2014.0, nan]",53.38,"[7.37, 16.63, 11.23, nan]","[10.42, 3.76, 4.75, nan]",4123.0,264.0,472039.0,12.08,True
A478560,블랙야크아이앤씨,"=HYPERLINK(""https://stock.naver.com/domestic/stock/478560"", ""A478560"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A478560&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""블랙야크아이앤씨"")",1,2500,0.0,,3347,2354,2006,33.9,-5.83,-19.74,24.28,False,0,-222.0,,,"[270.0, 293.0, -222.0, nan]","[8.5, -175.8, nan]",0.0,,"[nan, 55.8, 8.6, nan, nan]",0.0,646.0,52162,"[119.0, 228.0, 383.0, nan]",76.2,"[65.11, 40.28, -18.78, nan]","[nan, nan, nan, nan]",573.0,93.0,38159.0,9.12,True
A461300,아이스크림미디어,"=HYPERLINK(""https://stock.naver.com/domestic/stock/461300"", ""A461300"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A461300&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""아이스크림미디어"")",3,15970,0.0,4.67,41455,27913,23173,159.58,74.78,45.1,27.79,True,0,3723.0,,,"[2851.0, 2712.0, 3723.0, nan]","[-4.9, 37.3, nan]",0.0,,"[96.1, 35.0, -4.9, 37.3, nan]",0.0,2128.0,107927,"[836.0, 1833.0, 2044.0, nan]",60.8,"[44.11, 23.29, 25.36, nan]","[nan, 4.33, 4.67, nan]",1959.0,618.0,598969.0,8.93,True
A005850,에스엘,"=HYPERLINK(""https://stock.naver.com/domestic/stock/005850"", ""A005850"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A005850&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""에스엘"")",2,63900,1.36,6.4,78991,66421,62022,23.62,3.95,-2.94,15.35,True,1,6692.0,8293.0,23.9,"[7223.0, 7930.0, 6692.0, 8293.0]","[9.8, -15.6, 23.9]",4.714148218180969,32.3,"[64.4, 119.6, 9.8, -15.6, 32.3]",34.65043351358115,29681.0,181635,"[19284.0, 22998.0, 25525.0, 27966.0]",62.92,"[18.83, 17.42, 12.81, 14.4]","[4.94, 3.8, 6.4, 7.7]",52399.0,4071.0,393058.0,6.46,True
A071320,지역난방공사,"=HYPERLINK(""https://stock.naver.com/domestic/stock/071320"", ""A071320"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A071320&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""지역난방공사"")",3,65600,0.63,3.29,228996,212871,207227,249.08,224.5,215.89,12.41,True,0,29268.0,20089.0,-31.4,"[17222.0, 18151.0, 29268.0, 20089.0]","[5.4, 61.2, -31.4]",5.23896978947147,-7.4,"[nan, nan, 5.4, 61.3, -7.4]",0.0,7596.0,22472,"[20885.0, 22671.0, 23014.0, 23397.0]",64.63,"[10.63, 9.65, 14.84, 10.02]","[1.42, 2.28, 3.29, 3.27]",39982.0,5296.0,,6.39,True
A096760,JW홀딩스,"=HYPERLINK(""https://stock.naver.com/domestic/stock/096760"", ""A096760"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A096760&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""JW홀딩스"")",3,3620,0.0,4.54,9438,6463,5421,160.72,78.53,49.76,26.34,True,0,791.0,,,"[257.0, 847.0, 791.0, nan]","[229.6, -6.6, nan]",0.0,103.9,"[nan, -14.1, 229.1, -6.6, 103.9]",0.0,2676.0,111783,"[1240.0, 2295.0, 2670.0, nan]",52.33,"[16.48, 35.43, 23.57, nan]","[13.56, 3.57, 4.54, nan]",9696.0,1679.0,4734115.0,5.99,True
A094280,효성ITX,"=HYPERLINK(""https://stock.naver.com/domestic/stock/094280"", ""A094280"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A094280&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""효성ITX"")",1,11930,0.0,10.29,12476,9451,8392,4.58,-20.78,-29.66,19.75,True,0,1243.0,,,"[1173.0, 947.0, 1243.0, nan]","[-19.3, 31.3, nan]",0.0,-21.6,"[3.7, -2.3, -19.3, 31.3, -21.6]",-3.389233288826765,1379.0,31956,"[702.0, 706.0, 751.0, nan]",68.3,"[21.45, 16.71, 21.21, nan]","[10.6, 12.9, 10.29, nan]",5190.0,190.0,519835.0,5.86,True
A067730,로지시스,"=HYPERLINK(""https://stock.naver.com/domestic/stock/067730"", ""A067730"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A067730&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""로지시스"")",3,2245,0.0,7.8,2685,2411,2315,19.59,7.38,3.1,13.32,True,0,342.0,,,"[53.0, 249.0, 342.0, nan]","[369.8, 37.3, nan]",0.0,7.8,"[-90.2, 152.5, 367.7, 36.9, 7.8]",11.300062294306557,217.0,104853,"[170.0, 187.0, 210.0, nan]",55.01,"[3.03, 13.5, 16.63, nan]","[67.77, 11.28, 7.8, nan]",485.0,29.0,,5.63,True
