name,code,cur_price,est_price0,est_price1,est_price2,disparity0,rep_roe,is_cheap_per,est_level
한창,A005110,1254,71187,33630,20500,-5577,933.04,1,3
효성화학,A298000,38900,1189494,606930,403269,-2958,130.47,0,3
일정실업,A008500,1754,26901,14260,9841,-1434,89.9,1,3
예림당,A036000,3160,35712,22579,17987,-1030,34.57,1,3
더코디,A224060,4025,40320,31141,27932,-902,18.75,0,3
한라캐스트,A125490,12900,114880,55109,34213,-791,426.88,0,3
베셀,A177350,736,5499,3685,3052,-647,28.13,1,3
DMS,A068790,5630,40316,29242,25371,-616,22.15,1,3
아로마티카,A0015N0,6040,34611,17941,12114,-473,110.11,1,3
서연,A007860,8420,47364,43672,42382,-463,12.59,1,3
에스코넥,A096630,2375,13106,9133,7744,-452,24.89,0,3
일지테크,A019540,5900,32185,22754,19457,-446,23.83,1,3
앤씨앤,A092600,2985,16263,11844,10299,-445,21.9,0,3
일동홀딩스,A000230,7300,37994,25522,21162,-420,27.92,1,3
웅진,A016880,2070,10534,6122,4579,-409,49.95,1,3
진양제약,A007370,4150,20971,15816,14014,-405,19.93,0,3
케이비아이동국실업,A001620,2485,12440,12114,12000,-401,11.3,1,3
화승코퍼레이션,A013520,2370,11729,8693,7631,-395,20.88,1,3
삼정펄프,A009770,26550,128257,121075,118565,-383,12.01,0,3
티에이치엔,A019180,7540,36440,23653,19183,-383,31.38,1,3
아이티센씨티에스,A031820,6220,30039,24103,22028,-383,17.07,1,3
나래나노텍,A137080,4485,20940,15560,13679,-367,20.73,1,3
화승알앤에이,A378850,3140,14632,11513,10423,-366,17.9,1,3
에스텍,A069510,11560,53343,39786,35047,-361,20.52,0,3
우원개발,A046940,3415,15213,11721,10500,-345,18.86,1,3
구영테크,A053270,1946,8535,6978,6434,-339,16.33,1,3
알트,A459550,1445,5889,3785,3049,-308,32.52,0,3
현대지에프홀딩스,A005440,13020,52625,38538,33614,-304,21.56,1,3
한진중공업홀딩스,A003480,4970,20021,18433,17877,-303,12.63,1,3
한국캐피탈,A023760,742,2984,2678,2571,-302,13.31,0,3
SB성보,A003080,2270,9110,8433,8196,-301,12.49,0,3
사람인,A143240,14690,58650,40920,34722,-299,24.79,1,3
시공테크,A020710,3910,15544,12499,11435,-298,16.98,0,3
체리부로,A066360,814,3234,2629,2417,-297,16.55,1,3
동양이엔피,A079960,21250,80978,68919,64703,-281,14.91,0,3
서희건설,A035890,2130,8034,6866,6458,-277,14.78,1,3
유성티엔에스,A024800,4780,17871,16810,16440,-274,12.09,1,3
우신시스템,A017370,4500,16799,13682,12592,-273,16.48,1,3
TP,A007980,1761,6496,6400,6366,-269,11.06,1,3
대원산업,A005710,10110,36465,32571,31210,-261,13.44,1,3
제일테크노스,A038010,5990,21561,19129,18278,-260,13.63,1,3
KX,A122450,2830,10158,9256,8940,-259,12.9,1,3
현대코퍼레이션홀딩스,A227840,12240,43920,39845,38421,-259,13.01,1,3
동원금속,A018500,1416,5044,3870,3460,-256,19.06,1,3
미창석유,A003650,122100,428815,369060,348170,-251,14.55,0,3
솔본,A035610,3330,11409,9469,8791,-243,15.78,0,3
현대코퍼레이션,A011760,24850,84675,70263,65224,-241,15.78,1,3
서연이화,A200880,12870,43859,43587,43492,-241,10.88,1,3
지역난방공사,A071320,67500,229422,213057,207336,-240,12.41,1,3
제이에스코퍼레이션,A194370,10830,36202,26581,23217,-234,21.41,1,3
평화홀딩스,A010770,4415,14367,11424,10396,-225,17.44,1,3
솔브레인홀딩스,A036830,46050,148739,114654,102738,-223,18.84,0,3
NI스틸,A008260,3075,9890,9729,9673,-222,11.09,1,3
성창오토텍,A080470,3170,10074,9113,8777,-218,13.09,1,3
우리기술투자,A041190,5980,18902,14135,12468,-216,20.38,0,3
KTis,A058860,2610,8143,7961,7897,-212,11.22,1,3
인지소프트,A100030,17220,53793,39819,34934,-212,20.94,1,3
성우하이텍,A015750,6960,21342,21270,21245,-207,10.82,1,3
한일사료,A005860,2670,8156,6023,5277,-205,21.08,0,3
태영건설,A009410,1666,4992,3417,2867,-200,26.28,1,3
신세계푸드,A031440,43050,126571,111851,106705,-194,13.74,1,3
유신,A054930,20150,58826,55023,53693,-192,12.23,0,3
한국컴퓨터,A054040,4905,14261,13302,12967,-191,12.3,0,3
동구바이오제약,A006620,4155,11503,8358,7258,-177,22.04,0,3
선진,A136490,10140,27991,25690,24886,-176,12.71,1,3
캐프,A198080,3035,8272,7119,6715,-173,14.55,0,3
세경하이테크,A148150,3775,10280,8496,7873,-172,15.93,0,3
쿠쿠홈시스,A284740,22150,59043,53347,51356,-167,13.12,1,3
다우기술,A023590,39000,103421,90850,86456,-165,13.92,1,3
국보디자인,A066620,24850,65441,56061,52782,-163,14.7,1,3
SY동아,A041930,5680,14900,13783,13392,-162,12.51,1,3
명신산업,A009900,8960,23077,18449,16831,-158,17.22,1,3
금호타이어,A073240,4800,12303,9507,8530,-156,18.72,0,3
JW홀딩스,A096760,3715,9456,6469,5424,-155,26.34,1,3
영화금속,A012280,853,2169,1907,1815,-154,13.91,1,3
백금T&A,A046310,2295,5758,5111,4884,-151,13.62,0,3
KCC,A002380,579000,1448627,1243314,1171537,-150,14.64,0,3
아이스크림미디어,A461300,16730,41532,27938,23186,-148,27.79,1,3
코리아에프티,A123410,6540,16142,12529,11266,-147,18.51,1,3
다우데이타,A032190,20050,49342,45448,44087,-146,12.62,1,3
오상자이엘,A053980,2655,6273,5994,5896,-136,11.73,1,3
체시스,A033250,4160,9796,8354,7849,-135,14.84,1,3
베뉴지,A019010,5560,12945,11222,10619,-133,14.32,1,3
한국전력,A015760,38700,89158,81620,78985,-130,12.77,1,3
태경비케이,A014580,4120,9415,8947,8783,-129,11.85,1,3
