name,code,cur_price,est0,est1,est2,disparity(%),rep_roe
효성ITX,A094280,12310,12500,9459,8397,-1.54,19.75
티앤엘,A340570,55900,56920,39934,33997,-1.82,24.38
키움증권,A039490,372000,378828,313066,290076,-1.84,15.93
삼양컴텍,A484590,7910,8107,5807,5003,-2.5,22.95
에이에스텍,A453860,10400,10663,9874,9598,-2.52,12.48
진성티이씨,A036890,14360,14771,14735,14722,-2.86,10.8
삼지전자,A037460,47500,49145,41163,38373,-3.46,15.45
고려신용정보,A049720,9660,10260,7137,6045,-6.21,25.02
씨앤지하이테크,A264660,15280,16233,15683,15491,-6.23,11.48
슈프리마,A236200,45550,48524,43603,41883,-6.53,13.27
나무가,A190510,16830,17971,14886,13807,-6.78,15.85
JW중외제약,A001060,26150,28230,21906,19695,-7.95,18.53
파라택시스이더리움,A290560,1120,1210,1203,1200,-8.07,10.88
한라IMS,A092460,18810,20333,15679,14052,-8.1,18.82
메쎄이상,A408920,3080,3340,2559,2286,-8.43,19.13
경동나비엔,A009450,68700,74941,63396,59360,-9.08,15.11
크레버스,A096240,8990,9938,7608,6793,-10.55,19.18
폰드그룹,A472850,4075,4520,4281,4197,-10.93,11.93
에스엘,A005850,71200,79138,66480,62055,-11.15,15.35
미원에스씨,A268280,98500,109724,100882,97791,-11.39,12.66
피엔티,A137400,43700,49397,38901,35232,-13.04,17.86
제일기획,A030000,18330,20779,17974,16994,-13.36,14.39
뉴프렉스,A085670,4340,4925,4658,4564,-13.47,11.96
애니플러스,A310200,2250,2567,2421,2370,-14.1,12.04
AP시스템,A265520,24350,27853,26293,25748,-14.38,12.01
로지시스,A067730,2330,2690,2413,2316,-15.44,13.32
바디텍메드,A206640,10630,12302,11423,11116,-15.73,12.41
하이록코리아,A013030,35450,41271,39852,39356,-16.42,11.49
노바렉스,A194700,14790,17343,15695,15119,-17.26,13.08
제이브이엠,A054950,22700,26645,23245,22056,-17.38,14.13
기산텔레콤,A035460,3145,3780,3716,3693,-20.18,11.1
디젠스,A113810,680,820,773,757,-20.53,12.03
유니트론텍,A142210,7170,8659,7623,7261,-20.77,13.86
더블유게임즈,A192080,70300,85039,72183,67688,-20.97,15.0
파워넷,A037030,6510,7886,6862,6504,-21.14,14.21
휴온스,A243070,28350,34677,33296,32813,-22.32,11.62
바이오비쥬,A489460,6720,8235,6042,5276,-22.54,21.45
에스엠,A041510,78700,96770,68494,58608,-22.96,23.75
블랙야크아이앤씨,A478560,2720,3354,2356,2008,-23.3,24.28
현대이지웰,A090850,5820,7203,5954,5517,-23.76,15.92
한국금융지주,A071050,250500,310246,266206,250810,-23.85,14.65
엠플러스,A259630,13240,16414,12186,10707,-23.97,20.78
빙그레,A005180,70000,87618,85753,85101,-25.17,11.2
종근당,A185750,75100,94007,84494,81168,-25.18,13.27
스톰테크,A352090,3610,4519,3970,3778,-25.19,13.92
GC메디아이,A032620,3170,3981,3343,3120,-25.59,15.36
매커스,A093520,21050,26762,20438,18227,-27.14,19.29
지엔씨에너지,A119850,21100,26904,19767,17272,-27.51,21.37
진양산업,A003780,5010,6443,5759,5520,-28.6,13.42
미원화학,A134380,10160,13188,10928,10138,-29.81,15.83
인스피언,A465480,4780,6247,6024,5946,-30.68,11.52
에이유브랜즈,A481070,12420,16326,10164,8009,-31.45,36.72
엠아이텍,A179290,4700,6195,4965,4535,-31.81,17.12
메리츠금융지주,A138040,106500,140681,99562,85187,-32.09,23.76
아바코,A083930,12930,17092,16593,16419,-32.19,11.37
네오오토,A212560,10400,13790,12647,12248,-32.59,12.72
셀바이오휴먼텍,A318160,5460,7412,7102,6993,-35.75,11.67
케이프,A064820,10750,14595,12018,11117,-35.77,16.07
코츠테크놀로지,A448710,14920,20262,15748,14170,-35.8,18.45
이지바이오,A353810,6220,8450,5669,4697,-35.85,28.03
대신정보통신,A020180,1017,1390,1188,1118,-36.63,14.76
잉글우드랩,A950140,9250,12660,10325,9508,-36.86,16.43
유비쿼스,A264450,12170,16657,14892,14276,-36.87,13.41
한국정보통신,A025770,8050,11266,10352,10033,-39.95,12.68
씨앤씨인터내셔널,A352480,20200,28321,27118,26697,-40.21,11.68
티디에스팜,A464280,7010,9848,8912,8584,-40.49,13.08
월덱스,A101160,25450,35947,27965,25175,-41.25,18.41
동방선기,A099410,3835,5432,4439,4091,-41.63,16.35
링네트,A042500,4230,6004,5816,5750,-41.95,11.42
케이티알파,A036030,4615,6604,6380,6301,-43.1,11.48
JB금융지주,A175330,25850,37314,34547,33579,-44.35,12.48
기아,A000270,164300,237690,194855,179880,-44.67,16.23
영원무역,A111770,81600,118738,106684,102470,-45.51,13.28
희림,A037440,5060,7417,7074,6954,-46.59,11.77
오파스넷,A173130,6660,9846,7239,6327,-47.84,21.34
엠씨넥스,A097520,21200,31686,27426,25936,-49.46,14.37
한국단자,A025540,77200,115399,115095,114989,-49.48,10.8
헥토이노베이션,A214180,15790,23670,20465,19345,-49.9,14.4
토탈소프트,A045340,6720,10106,7062,5998,-50.38,24.67
한샘,A009240,30650,46364,34472,30315,-51.27,20.7
씨아이테크,A004920,980,1493,1446,1430,-52.36,11.42
명인제약,A317450,44600,68187,60834,58264,-52.88,13.47
삼진식품,A0013V0,5650,8747,6333,5489,-54.82,22.26
탑런토탈솔루션,A336680,3105,4906,4773,4727,-58.01,11.33
나이스정보통신,A036800,29100,46539,45894,45668,-59.93,11.04
DB,A012030,1993,3201,2748,2589,-60.63,14.63
일월지엠엘,A178780,2300,3695,2923,2653,-60.66,17.67
DN오토모티브,A007340,41700,67283,52070,46751,-61.35,18.65
사이냅소프트,A466410,9740,15804,15075,14820,-62.26,11.77
원바이오젠,A307280,6020,9828,7931,7268,-63.26,16.84
CJ프레시웨이,A051500,24450,40121,39172,38841,-64.09,11.25
세보엠이씨,A011560,21450,35347,30869,29304,-64.79,14.09
대한조선,A439260,62000,103201,63427,49522,-66.45,38.68
아이패밀리에스씨,A114840,9930,16604,11086,9157,-67.21,28.48
케이엘넷,A039420,2670,4503,3840,3608,-68.66,14.85
젝시믹스,A337930,3075,5221,4524,4281,-69.8,14.33
F&F,A383220,71700,123132,84165,70542,-71.73,26.41
아이크래프트,A052460,2985,5148,4441,4195,-72.45,14.47
아이비김영,A339950,2535,4389,2955,2453,-73.13,27.72
아이디피,A332370,5040,8785,7185,6626,-74.31,16.32
휴메딕스,A200670,26350,46192,35946,32364,-75.3,18.39
솔디펜스,A215090,1793,3143,2687,2528,-75.3,14.76
나이스디앤비,A130580,5540,9797,8574,8147,-76.84,14.03
에이아이코리아,A364950,4825,8618,7689,7364,-78.62,13.47
바텍,A043150,18820,33676,33513,33456,-78.94,10.85
HRS,A036640,4695,8428,8159,8065,-79.51,11.43
메가스터디교육,A215200,39000,70793,58635,54385,-81.52,15.85
바이오포트,A188040,4800,8785,8784,8784,-83.01,10.75
인피니트헬스케어,A071200,7170,13139,10323,9339,-83.24,17.96
HLB제넥스,A187420,2215,4082,2574,2047,-84.28,34.92
토비스,A051360,17240,31870,24878,22433,-84.86,18.25
인카금융서비스,A211050,9350,17353,10435,8016,-85.59,42.48
브이티,A018290,12670,23558,14720,11630,-85.94,36.19
시프트업,A462870,30450,57095,35171,27507,-87.5,38.31
쿠쿠홀딩스,A192400,25150,47183,44698,43830,-87.61,11.93
대웅,A003090,18110,34142,31062,29985,-88.52,12.94
영원무역홀딩스,A009970,183200,345380,306553,292980,-88.53,13.62
한솔로지스틱스,A009180,2745,5188,5142,5126,-88.98,10.93
인터플렉스,A051370,9840,18627,15787,14794,-89.29,15.05
한국화장품제조,A003350,8390,16061,10572,8653,-91.44,29.89
키네마스터,A139670,1578,3037,2376,2145,-92.48,18.15
휴네시온,A290270,3070,6035,5729,5623,-96.57,11.88
대한뉴팜,A054670,5680,11230,10556,10321,-97.72,12.11
멀티캠퍼스,A067280,25200,49956,44050,41986,-98.24,13.81
메타바이오메드,A059210,3635,7226,5843,5359,-98.79,16.76
오아,A342870,5270,10562,9126,8624,-100.42,14.42
대한약품,A023910,26200,52709,51826,51517,-101.18,11.1
동방,A004140,1969,3962,3809,3756,-101.2,11.58
흥국,A010240,5250,10572,10427,10376,-101.37,11.03
HB솔루션,A297890,1925,3893,3612,3513,-102.22,12.43
화신,A010690,9820,19957,18082,17426,-103.23,13.05
트루엔,A417790,6530,13347,11905,11400,-104.4,13.48
DB손해보험,A005830,144700,296840,234170,212261,-105.14,17.79
아이티센엔텍,A010280,6790,14323,10751,9503,-110.94,20.18
엠게임,A058630,4465,9442,8259,7845,-111.47,14.05
동인기연,A111380,13160,27889,26714,26303,-111.92,11.67
세동,A053060,1277,2709,2481,2402,-112.12,12.76
영화테크,A265560,7540,16062,12112,10732,-113.02,19.93
동아엘텍,A088130,7110,15190,12275,11256,-113.64,16.79
유아이엘,A049520,3570,7641,7102,6914,-114.03,12.39
엠에스씨,A009780,6120,13123,11857,11414,-114.43,13.12
대창단조,A015230,6010,12894,12847,12831,-114.54,10.82
JW생명과학,A234080,11110,23954,18773,16961,-115.61,18.07
KT밀리의서재,A418470,10230,22105,15722,13490,-116.08,23.42
동원수산,A030720,5690,12501,12297,12226,-119.69,11.09
디와이피엔에프,A104460,10060,22137,18764,17585,-120.05,15.05
SOOP,A067160,49250,109166,74289,62097,-121.66,26.78
배럴,A267790,3045,6805,6435,6306,-123.49,11.97
백산,A035150,10310,23102,17710,15824,-124.07,19.11
케이씨피드,A025880,2510,5625,5331,5228,-124.11,11.92
평화산업,A090080,876,1978,1526,1368,-125.81,18.8
우리산업,A215360,7350,16692,14843,14197,-127.1,13.56
태경비케이,A014580,4120,9415,8947,8783,-128.53,11.85
한국전력,A015760,38700,89158,81620,78985,-130.38,12.77
베뉴지,A019010,5560,12945,11222,10619,-132.82,14.32
체시스,A033250,4160,9796,8354,7849,-135.48,14.84
오상자이엘,A053980,2660,6273,5994,5896,-135.82,11.73
다우데이타,A032190,20050,49342,45448,44087,-146.09,12.62
코리아에프티,A123410,6540,16142,12529,11266,-146.82,18.51
아이스크림미디어,A461300,16730,41532,27938,23186,-148.25,27.79
KCC,A002380,579000,1448627,1243314,1171537,-150.19,14.64
백금T&A,A046310,2270,5758,5111,4884,-153.64,13.62
영화금속,A012280,853,2169,1907,1815,-154.32,13.91
JW홀딩스,A096760,3715,9456,6469,5424,-154.53,26.34
금호타이어,A073240,4780,12303,9507,8530,-157.4,18.72
명신산업,A009900,8960,23077,18449,16831,-157.55,17.22
국보디자인,A066620,25400,65441,56061,52782,-157.64,14.7
다우기술,A023590,39500,103421,90850,86456,-161.82,13.92
SY동아,A041930,5570,14900,13783,13392,-167.5,12.51
쿠쿠홈시스,A284740,21950,59043,53347,51356,-168.99,13.12
캐프,A198080,3035,8272,7119,6715,-172.55,14.55
신세계푸드,A031440,46300,126571,111851,106705,-173.37,13.74
세경하이테크,A148150,3695,10280,8496,7873,-178.21,15.93
선진,A136490,9770,27991,25690,24886,-186.49,12.71
유신,A054930,20100,58826,55023,53693,-192.67,12.23
한국컴퓨터,A054040,4845,14261,13302,12967,-194.35,12.3
성우하이텍,A015750,6960,21342,21270,21245,-206.64,10.82
솔브레인홀딩스,A036830,48300,148739,114654,102738,-207.95,18.84
KTis,A058860,2610,8143,7961,7897,-212.0,11.22
인지소프트,A100030,17220,53793,39819,34934,-212.39,20.94
성창오토텍,A080470,3170,10074,9113,8777,-217.78,13.09
NI스틸,A008260,3075,9890,9729,9673,-221.62,11.09
우리기술투자,A041190,5870,18902,14135,12468,-222.01,20.38
